timestamp_sec,ego_x,ego_y,ego_yaw,ego_velocity,ai_x,ai_y,ai_yaw,mppi_mode,throttle,steering
1777586141.983488,30.028701,-36.861476,-0.182127,12.371212,28.000000,-40.000000,0.000000,1,2.628788,-0.003366
1777586142.003452,30.271666,-36.903613,-0.181586,12.349977,28.200000,-40.000000,0.000000,1,2.650023,-0.026566
1777586142.033431,30.630974,-36.970273,-0.182346,12.318340,28.500000,-40.000000,0.000000,1,2.681660,-0.059075
1777586142.053411,30.875122,-37.019243,-0.183495,12.297601,28.700000,-40.000000,0.000000,1,2.702399,-0.077593
1777586142.083473,31.237929,-37.092197,-0.186367,12.267650,29.000000,-40.000000,0.000000,1,2.732350,-0.093130
1777586142.103464,31.478301,-37.141770,-0.188650,12.248248,29.200000,-40.000000,0.000000,1,2.751752,-0.097817
1777586142.133381,31.833147,-37.220413,-0.192505,12.220513,29.500000,-40.000000,0.000000,1,2.779487,-0.102270
1777586142.153545,32.068456,-37.272579,-0.195171,12.202658,29.700000,-40.000000,0.000000,1,2.797342,-0.103438
1777586142.183614,32.422570,-37.350582,-0.199284,12.176813,30.000000,-40.000000,0.000000,1,2.823187,-0.112023
1777586142.203501,32.655632,-37.406228,-0.202145,12.159913,30.200000,-40.000000,0.000000,1,2.840087,-0.104090
1777586142.233506,33.012792,-37.487714,-0.206390,12.136087,30.500000,-40.000000,0.000000,1,2.863913,-0.122439
1777586142.253542,33.247363,-37.541378,-0.209389,12.119817,30.700000,-40.000000,0.000000,1,2.880183,-0.128578
1777586142.283567,33.602237,-37.623061,-0.214406,12.096941,31.000000,-40.000000,0.000000,1,2.903059,-0.138932
1777586142.303554,33.839882,-37.681073,-0.217936,12.081939,31.200000,-40.000000,0.000000,1,2.918061,-0.145514
1777586142.333567,34.185145,-37.763797,-0.223602,12.060468,31.500000,-40.000000,0.000000,1,2.939532,-0.152811
1777586142.353458,34.419553,-37.824802,-0.227528,12.046517,31.700000,-40.000000,0.000000,1,2.953483,-0.156803
1777586142.383683,34.771915,-37.921221,-0.233658,12.026533,32.000000,-40.000000,0.000000,1,2.973467,-0.171546
1777586142.403449,34.997398,-37.984314,-0.237968,12.012970,32.200000,-40.000000,0.000000,1,2.987030,-0.171583
1777586142.433489,35.344742,-38.077353,-0.244716,11.994505,32.500000,-40.000000,0.000000,1,3.005495,-0.175706
1777586142.453453,35.574036,-38.140688,-0.249263,11.982394,32.700000,-40.000000,0.000000,1,3.017606,-0.186804
1777586142.483509,35.918974,-38.241283,-0.256447,11.964380,33.000000,-40.000000,0.000000,1,3.035620,-0.196105
1777586142.503575,36.147092,-38.312412,-0.261450,11.952655,33.200000,-40.000000,0.000000,1,3.047345,-0.192207
1777586142.533623,36.496465,-38.418794,-0.269025,11.936797,33.500000,-40.000000,0.000000,1,3.063203,-0.182964
1777586142.553602,36.722772,-38.491565,-0.273915,11.927070,33.700000,-40.000000,0.000000,1,3.072930,-0.172122
1777586142.583445,37.064310,-38.596962,-0.280779,11.912637,34.000000,-40.000000,0.000000,1,3.087363,-0.164207
1777586142.603391,37.291022,-38.673613,-0.285153,11.903394,34.200000,-40.000000,0.000000,1,3.096606,-0.162407
1777586142.633583,37.627423,-38.786814,-0.291506,11.889294,34.500000,-40.000000,0.000000,1,3.110706,-0.161078
1777586142.653705,37.850026,-38.866243,-0.295704,11.880253,34.700000,-40.000000,0.000000,1,3.119747,-0.158168
1777586142.683515,38.186824,-38.981458,-0.301894,11.867114,35.000000,-40.000000,0.000000,1,3.132886,-0.157037
1777586142.703468,38.409687,-39.058577,-0.305977,11.858636,35.200000,-40.000000,0.000000,1,3.141364,-0.166740
1777586142.733429,38.741310,-39.174299,-0.312325,11.845601,35.500000,-40.000000,0.000000,1,3.154399,-0.176257
1777586142.753436,38.965854,-39.253039,-0.316761,11.837022,35.700000,-40.000000,0.000000,1,3.162978,-0.185896
1777586142.783565,39.305412,-39.374429,-0.323843,11.824754,36.000000,-40.000000,0.000000,1,3.175246,-0.215390
1777586142.803440,39.520899,-39.453228,-0.329026,11.815158,36.200000,-40.000000,0.000000,1,3.184842,-0.224567
1777586142.833647,39.853612,-39.583943,-0.337603,11.803617,36.500000,-40.000000,0.000000,1,3.196383,-0.259530
1777586142.853486,40.071481,-39.673700,-0.343849,11.793630,36.700000,-40.000000,0.000000,1,3.206370,-0.213321
1777586142.883713,40.394812,-39.807149,-0.352694,11.787576,37.000000,-40.000000,0.000000,1,3.212424,-0.126520
1777586142.903546,40.613826,-39.896776,-0.357070,11.786390,37.200000,-40.000000,0.000000,1,3.213610,-0.067841
1777586142.933468,40.938521,-40.023028,-0.360441,11.778789,37.500000,-40.000000,0.000000,1,3.221211,0.015155
1777586142.953467,41.162800,-40.103139,-0.361118,11.773339,37.700000,-40.000000,0.000000,1,3.226661,0.067897
1777586142.983452,41.496282,-40.221694,-0.359180,11.763435,38.000000,-40.000000,0.000000,1,3.236565,0.145827
1777586143.003463,41.720942,-40.300022,-0.356437,11.754611,38.200000,-40.000000,0.000000,1,3.245389,0.197128
